gebiet;plz
740;17033
740;17034
740;17036
740;17039
740;17087
740;17089
740;17091
740;17094
740;17098
740;17099
740;17109
740;17111
740;17121
740;17126
740;17129
740;17139
740;17153
730;17154
730;17159
730;17166
730;17168
730;17179
740;17192
720;17194
720;17207
720;17209
720;17213
720;17214
740;17217
740;17219
750;17235
750;17237
750;17248
750;17252
750;17255
740;17258
740;17309
750;17321
750;17322
740;17328
740;17329
740;17335
740;17337
740;17348
740;17349
750;17358
750;17367
750;17373
750;17375
750;17379
750;17389
750;17390
740;17391
740;17392
750;17398
750;17406
750;17419
750;17424
750;17429
750;17438
750;17440
750;17449
750;17454
750;17459
740;17489
740;17491
740;17493
750;17495
740;17498
740;17506
750;17509
730;18055
730;18057
730;18059
730;18069
730;18106
730;18107
730;18109
730;18119
730;18146
730;18147
730;18181
730;18182
730;18184
730;18190
730;18195
730;18196
730;18198
730;18209
730;18211
730;18225
730;18230
730;18233
730;18236
730;18239
730;18246
730;18249
730;18258
730;18273
730;18276
730;18279
730;18292
730;18299
730;18311
730;18314
730;18317
730;18320
730;18334
730;18337
730;18347
730;18356
730;18374
730;18375
730;18435
730;18437
730;18439
730;18442
730;18445
730;18461
730;18465
730;18469
730;18507
730;18510
730;18513
730;18516
730;18519
730;18528
730;18546
730;18551
730;18556
730;18565
730;18569
730;18573
730;18574
730;18581
730;18586
730;18609
710;19053
710;19055
710;19057
710;19059
720;19061
720;19063
720;19065
710;19067
710;19069
710;19071
720;19073
720;19075
720;19077
720;19079
720;19086
720;19089
710;19205
710;19209
710;19217
720;19230
720;19243
720;19246
720;19249
720;19258
720;19260
720;19288
720;19294
720;19300
720;19303
720;19306
720;19370
720;19372
720;19374
720;19376
720;19386
720;19395
720;19399
720;19406
720;19412
730;19417
999;20095
999;20097
999;20099
999;20144
999;20146
999;20148
999;20149
999;20249
999;20251
999;20253
999;20255
999;20257
999;20259
999;20354
999;20355
999;20357
999;20359
999;20457
999;20459
999;20535
999;20537
999;20539
440;21029
999;21031
999;21033
999;21035
999;21037
440;21039
999;21073
999;21075
999;21077
999;21079
999;21107
999;21109
999;21129
999;21147
999;21149
440;21465
440;21481
440;21483
440;21493
440;21502
420;21509
440;21514
440;21516
440;21521
440;21524
440;21526
440;21527
440;21529
999;22041
999;22043
999;22045
999;22047
999;22049
999;22081
999;22083
999;22085
999;22087
999;22089
999;22111
999;22113
999;22115
999;22117
999;22119
420;22143
420;22145
999;22147
420;22149
999;22159
999;22175
999;22177
999;22179
999;22297
999;22299
999;22301
999;22303
999;22305
999;22307
999;22309
999;22335
999;22337
999;22339
420;22359
999;22391
999;22393
999;22395
420;22397
999;22399
999;22415
999;22417
999;22419
999;22453
999;22455
999;22457
999;22459
999;22523
999;22525
999;22527
999;22529
999;22547
999;22549
430;22559
999;22587
999;22589
999;22605
999;22607
999;22609
999;22761
999;22763
999;22765
999;22767
999;22769
430;22844
430;22846
430;22848
430;22850
430;22851
430;22869
540;22880
420;22885
420;22889
420;22926
420;22927
440;22929
420;22941
440;22946
420;22949
420;22952
420;22955
420;22956
440;22958
440;22959
420;22961
420;22962
420;22964
420;22965
420;22967
440;22969
440;23552
190;23554
240;23556
440;23558
440;23560
440;23562
440;23564
190;23566
190;23568
190;23569
190;23570
190;23611
190;23617
240;23619
190;23623
190;23626
440;23627
440;23628
190;23629
190;23669
190;23683
190;23684
190;23689
190;23701
180;23714
160;23715
210;23717
230;23719
210;23730
210;23738
210;23743
210;23744
210;23746
210;23747
210;23749
210;23758
220;23769
220;23774
220;23775
220;23777
220;23779
230;23795
400;23812
230;23813
240;23815
410;23816
230;23818
190;23820
230;23821
230;23823
230;23824
410;23826
230;23827
410;23829
240;23843
410;23845
440;23847
240;23858
440;23860
390;23863
390;23866
410;23867
410;23869
440;23879
440;23881
440;23883
440;23896
440;23898
